"Source:","/mnt/DATA2/pCloud/job/KiCAD/rover_commander/Rover_Commander_v3.1a.sch"
"Date:","Fri 08 Dec 2017 12:31:54 EET"
"Tool:","Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1"
"Component Count:","75"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"U1","RTL8201CP","Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm","http://imrad.com.ua/userdata/modules/wproducts/wprod_products/64731/RTL8201CP.pdf","",""
"U2","L7805ABD2T-TR","zulljon:TO254P1542X460-3N","http://www.st.com/web/en/resource/technical/document/datasheet/CD00000444.pdf","",""
"U3","H1102NLT","Housings_SOIC:SOIC-16W_7.5x12.8mm_Pitch1.27mm","","",""
"U4","LD1117S33TR_SOT223","TO_SOT_Packages_SMD:SOT-223-3Lead_TabPin2","","",""
"U5","STM32F107RCTx","Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm","","",""
"U6","TJA1040T","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","",""
"U7","M95160-WMN6TP","Housings_SOIC:SO-8_5.3x6.2mm_Pitch1.27mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00043980.pdf","",""
"VT1","Y2 or SS8550","TO_SOT_Packages_SMD:SOT-23","","",""
"XP1","USB_B","Connectors:USB_B","","",""
"XP2","NOT_FITTED_SWD_Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","","",""
"XP3","NOT_FITTED_Conn_01x10_OBD2","Pin_Headers:Pin_Header_Straight_1x10_Pitch2.54mm","","",""
